option_set_id,model_id,engine_id,transmission_id,chassis_id,premium_sound_id,color,option_set_price
1,4,2,4,6,5.0,Blue,2000
2,5,2,4,6,5.0,Yellow,1200
3,6,1,4,7,5.0,Green,1100
4,15,1,4,7,5.0,Red,4000
5,14,2,4,7,5.0,Sky,3000
6,16,2,4,7,5.0,Birthday Cake,2500
7,17,3,4,6,5.0,Cyan,7000
8,10,1,4,6,5.0,Purple,2500
9,11,2,4,6,5.0,Red,10000
10,12,2,4,7,5.0,Blue,11300
11,13,1,4,7,5.0,Green,23000
12,1,1,4,7,,Black,1100
13,2,1,4,7,,Blue,2000
14,3,1,4,6,,Red,1500
15,4,3,4,6,,Yellow,4000
16,5,2,4,6,,Black,3600
17,7,2,4,6,,White,2300
18,8,2,4,7,,Pretty,2200
19,9,3,4,7,,Glitter BomB,2900
20,14,1,4,7,,Nyan,7999
21,12,1,4,7,,Ultraviolet,25000
22,11,1,4,7,,Transparent,40000
23,6,2,4,6,,Green,1200
24,2,1,4,6,,Purple,3900
25,1,2,4,7,,Red,900
26,11,2,4,6,,Magenta,200
