ticket_id,booking_id,seat_row,seat_number
1,3,B,3
2,230,C,10
3,22,D,6
4,8,D,20
5,993,B,11
6,564,F,11
7,322,E,3
8,377,B,11
9,253,D,3
10,875,F,16
11,48,B,11
12,708,E,12
13,697,C,1
14,533,C,10
15,595,C,1
16,264,A,2
17,783,F,6
18,373,C,9
19,301,C,11
20,87,A,6
21,241,F,20
22,615,D,5
23,715,F,12
24,462,E,4
25,384,F,12
26,682,A,11
27,168,A,13
28,201,D,13
29,507,D,17
30,469,F,6
31,51,B,14
32,206,A,5
33,750,E,14
34,819,D,1
35,739,E,4
36,35,D,1
37,928,D,16
38,853,C,10
39,989,F,11
40,470,D,2
41,115,E,14
42,994,D,15
43,848,F,18
44,419,A,9
45,336,B,8
46,694,A,20
47,44,F,19
48,251,D,14
49,148,C,13
50,381,B,13
51,349,C,13
52,775,D,7
53,870,F,20
54,730,F,7
55,500,B,5
56,565,F,13
57,721,C,9
58,110,F,15
59,672,B,15
60,214,D,12
61,32,B,7
62,628,E,3
63,329,F,7
64,981,B,18
65,995,C,8
66,340,C,19
67,387,A,20
68,983,F,15
69,749,F,6
70,182,C,10
71,881,F,17
72,468,F,4
73,293,B,9
74,641,C,11
75,939,B,13
76,802,A,7
77,373,C,10
78,402,F,9
79,520,C,2
80,715,A,12
81,959,B,15
82,726,F,4
83,763,C,12
84,64,D,10
85,437,F,4
86,164,B,11
87,399,E,15
88,697,E,8
89,329,B,10
90,20,D,13
91,949,F,7
92,540,C,14
93,960,B,16
94,206,F,10
95,753,A,19
96,846,A,17
97,140,C,1
98,151,C,7
99,771,B,18
100,883,A,20
101,301,B,4
102,269,B,7
103,723,B,1
104,631,D,4
105,93,E,10
106,374,E,19
107,290,C,14
108,247,D,11
109,158,F,18
110,917,B,4
111,733,D,19
112,326,C,2
113,327,D,17
114,747,E,6
115,922,B,7
116,788,D,7
117,553,C,18
118,386,E,6
119,443,B,4
120,934,B,14
121,6,D,20
122,496,C,4
123,47,C,20
124,864,C,8
125,173,E,5
126,661,F,13
127,319,A,20
128,702,C,1
129,739,C,16
130,33,F,12
131,677,D,20
132,124,F,4
133,17,F,1
134,710,B,17
135,594,C,8
136,875,D,7
137,609,F,15
138,110,A,5
139,183,F,7
140,966,A,5
141,381,F,2
142,667,C,17
143,193,A,6
144,595,F,16
145,62,B,9
146,227,E,20
147,527,B,13
148,334,F,18
149,942,A,14
150,245,E,11
151,278,A,5
152,900,E,14
153,671,B,12
154,744,B,15
155,606,A,10
156,511,C,9
157,609,A,11
158,499,C,2
159,861,E,3
160,778,B,20
161,860,A,16
162,251,E,8
163,547,F,4
164,392,C,15
165,958,C,3
166,331,B,16
167,672,A,20
168,708,A,10
169,972,C,9
170,947,E,5
171,967,E,19
172,918,E,9
173,610,A,8
174,405,B,13
175,639,D,7
176,435,D,4
177,835,F,4
178,234,B,18
179,653,A,11
180,61,E,17
181,695,C,9
182,909,B,17
183,120,E,12
184,337,B,5
185,251,F,3
186,173,C,2
187,282,D,8
188,905,A,9
189,719,E,3
190,768,F,5
191,807,B,5
192,730,B,11
193,379,E,19
194,998,D,17
195,445,B,18
196,825,D,17
197,308,E,14
198,502,A,12
199,471,A,14
200,687,C,6
201,945,E,8
202,764,F,14
203,201,D,15
204,713,C,18
205,140,C,17
206,837,A,7
207,988,C,11
208,707,B,10
209,703,F,10
210,94,B,16
211,866,F,8
212,185,F,14
213,238,A,17
214,315,E,12
215,182,D,6
216,150,E,7
217,201,C,8
218,271,D,10
219,309,B,14
220,714,A,19
221,785,C,15
222,555,D,2
223,423,E,20
224,990,D,17
225,385,D,2
226,85,D,13
227,161,A,20
228,731,C,15
229,824,F,1
230,317,A,10
231,628,D,18
232,789,E,2
233,320,A,16
234,683,D,10
235,181,E,4
236,682,A,8
237,372,E,8
238,350,F,18
239,385,E,18
240,117,C,4
241,425,F,7
242,73,D,13
243,978,E,20
244,89,E,11
245,1,F,4
246,659,B,4
247,789,A,4
248,804,B,2
249,651,C,5
250,8,C,13
251,444,A,11
252,144,A,6
253,71,E,18
254,300,E,12
255,574,D,14
256,715,B,2
257,699,A,16
258,597,D,7
259,204,A,17
260,57,D,11
261,106,D,13
262,727,E,16
263,725,D,4
264,399,E,19
265,691,D,20
266,815,E,17
267,199,B,17
268,680,B,3
269,58,E,3
270,918,F,2
271,245,C,10
272,269,A,2
273,440,B,12
274,319,E,11
275,803,E,9
276,400,F,4
277,938,E,9
278,986,C,11
279,619,A,13
280,365,F,19
281,439,C,18
282,713,C,7
283,346,D,19
284,38,E,19
285,795,C,13
286,714,C,9
287,844,C,3
288,624,A,1
289,639,E,10
290,435,F,1
291,811,B,1
292,134,B,10
293,455,D,1
294,799,E,1
295,558,F,2
296,188,E,11
297,105,E,15
298,821,F,3
299,564,F,14
300,685,E,2
301,485,D,1
302,1,A,16
303,88,B,1
304,905,F,13
305,409,B,7
306,657,B,20
307,301,E,3
308,615,B,3
309,918,A,3
310,744,C,20
311,801,E,19
312,32,C,7
313,698,B,20
314,235,F,11
315,179,C,3
316,60,C,3
317,874,F,3
318,649,E,11
319,958,B,1
320,996,F,19
321,18,D,12
322,860,C,16
323,710,C,15
324,913,A,6
325,491,F,11
326,450,C,4
327,246,F,15
328,130,C,9
329,493,B,18
330,682,C,17
331,297,C,3
332,273,B,16
333,691,A,7
334,665,D,11
335,399,A,1
336,282,B,1
337,947,E,4
338,873,C,10
339,854,A,1
340,797,C,13
341,638,E,6
342,135,A,3
343,556,E,4
344,570,C,10
345,210,C,4
346,576,A,12
347,21,A,7
348,53,C,12
349,728,D,15
350,802,A,5
351,704,B,14
352,646,C,12
353,383,F,6
354,938,C,12
355,602,F,18
