movie_id,budget_millions,runtime_mins,language
1,179,145,English
2,48,93,English
3,199,134,English
4,102,95,English
5,32,179,English
6,116,159,English
7,41,110,English
8,41,179,English
9,60,130,English
10,196,95,English
11,118,113,English
12,62,176,English
13,76,97,English
14,125,141,English
15,110,172,English
16,143,148,English
17,123,115,English
18,10,145,English
19,209,123,English
20,178,147,English
21,203,162,English
22,148,174,English
23,22,118,English
24,15,154,English
25,171,176,English
26,121,171,English
27,108,156,English
28,183,145,English
29,79,140,English
30,97,139,English
31,152,135,English
32,181,154,English
33,230,134,English
34,186,122,English
35,57,130,English
36,123,164,English
37,163,95,English
38,243,176,English
39,118,111,English
40,44,165,English
41,17,164,English
42,174,160,English
43,243,172,English
44,155,159,English
45,170,175,English
46,171,145,English
47,21,111,English
48,55,125,English
49,65,140,English
50,199,107,English
51,246,152,English
52,50,132,English
53,58,153,English
54,192,137,English
55,183,124,English
56,78,159,English
57,10,117,English
58,247,139,English
59,26,100,English
60,37,157,English
