screen_id,theater_id,capacity,is_imax
1,11,200,True
2,12,200,False
3,3,100,True
4,12,150,True
5,3,100,True
6,5,200,False
7,14,200,True
8,11,100,True
9,13,300,True
10,6,200,True
11,13,150,True
12,12,300,True
13,1,300,True
14,6,100,False
15,1,100,True
16,1,100,True
17,14,100,True
18,11,150,True
19,10,100,False
20,10,300,True
21,11,200,True
22,14,200,True
23,13,100,False
24,7,100,True
25,2,300,True
26,5,300,True
27,8,300,False
28,12,200,True
29,6,150,True
30,10,100,True
31,10,200,True
32,14,150,False
33,14,200,True
34,14,100,True
35,3,150,False
36,6,150,False
37,5,200,True
38,10,300,False
39,13,200,False
40,1,100,True
41,14,200,True
42,3,100,True
43,6,300,False
44,15,150,True
45,15,150,False
46,1,300,True
47,15,200,False
48,11,100,False
49,13,150,False
50,9,200,False
51,14,100,True
52,1,150,True
53,5,100,True
54,4,100,False
55,12,200,False
56,15,200,True
57,2,100,True
58,11,100,False
59,15,150,False
60,1,100,True
