channel_id,user_id,channel_name,subscriber_count
1,108,Channel_1_Official,3612998
2,780,Channel_2_Official,2620209
3,763,Channel_3_Official,2224041
4,594,Channel_4_Official,4658468
5,27,Channel_5_Official,2729847
6,964,Channel_6_Official,2216343
7,451,Channel_7_Official,2030276
8,30,Channel_8_Official,2701221
9,422,Channel_9_Official,250766
10,201,Channel_10_Official,1172014
11,817,Channel_11_Official,3136044
12,726,Channel_12_Official,2982565
13,655,Channel_13_Official,2696074
14,463,Channel_14_Official,3307189
15,279,Channel_15_Official,848136
16,758,Channel_16_Official,3982231
17,761,Channel_17_Official,3494225
18,67,Channel_18_Official,3954676
19,868,Channel_19_Official,4321888
20,551,Channel_20_Official,643544
21,819,Channel_21_Official,2382099
22,723,Channel_22_Official,2225344
23,332,Channel_23_Official,3394451
24,742,Channel_24_Official,4318072
25,841,Channel_25_Official,1106617
26,167,Channel_26_Official,1280694
27,942,Channel_27_Official,2583707
28,730,Channel_28_Official,1746515
29,528,Channel_29_Official,2979445
30,401,Channel_30_Official,706280
31,893,Channel_31_Official,1828849
32,553,Channel_32_Official,2512735
33,217,Channel_33_Official,1756487
34,135,Channel_34_Official,1741855
35,949,Channel_35_Official,3361595
36,757,Channel_36_Official,3171537
37,864,Channel_37_Official,2011467
38,230,Channel_38_Official,3430077
39,504,Channel_39_Official,3257551
40,882,Channel_40_Official,4994147
41,444,Channel_41_Official,4798411
42,453,Channel_42_Official,1015995
43,674,Channel_43_Official,3353673
44,185,Channel_44_Official,3177051
45,866,Channel_45_Official,1315149
46,5,Channel_46_Official,1814684
47,768,Channel_47_Official,4774848
48,365,Channel_48_Official,3645517
49,271,Channel_49_Official,1616745
50,378,Channel_50_Official,4080808
51,345,Channel_51_Official,2524675
52,940,Channel_52_Official,1304391
53,579,Channel_53_Official,4931169
54,526,Channel_54_Official,2874338
55,379,Channel_55_Official,3606898
56,172,Channel_56_Official,3432282
57,577,Channel_57_Official,2358166
58,151,Channel_58_Official,2151985
59,363,Channel_59_Official,3110001
60,452,Channel_60_Official,3517114
61,530,Channel_61_Official,351741
62,337,Channel_62_Official,1603670
63,468,Channel_63_Official,1761161
64,823,Channel_64_Official,92312
65,954,Channel_65_Official,327943
66,464,Channel_66_Official,687034
67,396,Channel_67_Official,754471
68,919,Channel_68_Official,1736920
69,983,Channel_69_Official,902130
70,16,Channel_70_Official,2418441
71,412,Channel_71_Official,4178218
72,410,Channel_72_Official,3006077
73,124,Channel_73_Official,3994611
74,639,Channel_74_Official,3533565
75,499,Channel_75_Official,3646987
76,343,Channel_76_Official,4555611
77,263,Channel_77_Official,4146819
78,368,Channel_78_Official,4627515
79,430,Channel_79_Official,2284882
80,25,Channel_80_Official,1721749
81,573,Channel_81_Official,4748954
82,147,Channel_82_Official,1190725
83,352,Channel_83_Official,3773424
84,214,Channel_84_Official,3051934
85,743,Channel_85_Official,4795138
86,174,Channel_86_Official,3389376
87,269,Channel_87_Official,3604025
88,630,Channel_88_Official,2039316
89,535,Channel_89_Official,2967565
90,157,Channel_90_Official,2565600
91,66,Channel_91_Official,1758917
92,179,Channel_92_Official,3243943
93,546,Channel_93_Official,3795709
94,438,Channel_94_Official,181564
95,827,Channel_95_Official,1555651
96,810,Channel_96_Official,94645
97,411,Channel_97_Official,2001221
98,907,Channel_98_Official,1077066
99,12,Channel_99_Official,4567357
100,496,Channel_100_Official,205586
