id,video_id,category_id
1,1,5
2,1,8
3,1,7
4,2,8
5,2,7
6,3,9
7,3,10
8,4,9
9,5,9
10,6,3
11,6,4
12,7,10
13,8,3
14,8,4
15,9,6
16,10,1
17,11,4
18,11,1
19,12,7
20,13,2
21,13,7
22,13,8
23,14,10
24,14,4
25,15,6
26,15,9
27,15,5
28,16,2
29,17,9
30,17,6
31,18,5
32,19,9
33,19,5
34,19,1
35,20,4
36,20,9
37,20,8
38,21,1
39,22,6
40,22,8
41,23,9
42,24,10
43,24,7
44,25,4
45,25,1
46,26,3
47,26,1
48,27,5
49,27,8
50,27,2
51,28,6
52,28,10
53,29,2
54,29,7
55,29,6
56,30,1
57,31,5
58,31,9
59,31,2
60,32,10
61,32,2
62,32,7
63,33,2
64,34,5
65,34,9
66,35,9
67,35,5
68,36,5
69,36,8
70,36,9
71,37,1
72,38,7
73,39,5
74,40,2
75,40,7
76,40,8
77,41,9
78,41,6
79,41,2
80,42,5
81,42,8
82,43,10
83,43,3
84,44,1
85,44,6
86,45,2
87,45,1
88,45,9
89,46,3
90,46,5
91,46,1
92,47,10
93,47,1
94,48,8
95,49,9
96,49,5
97,49,2
98,50,10
99,51,2
100,51,8
101,51,3
102,52,3
103,52,5
104,52,4
105,53,5
106,54,8
107,54,2
108,54,1
109,55,7
110,55,4
111,55,6
112,56,10
113,57,7
114,57,10
115,58,7
116,59,7
117,60,2
118,61,6
119,62,3
120,62,10
121,62,5
122,63,3
123,64,1
124,64,5
125,65,10
126,66,6
127,66,2
128,67,3
129,67,8
130,68,8
131,69,6
132,70,8
133,71,5
134,72,5
135,72,6
136,73,2
137,74,4
138,75,6
139,76,10
140,76,6
141,76,5
142,77,9
143,78,5
144,78,6
145,79,1
146,80,5
147,80,1
148,80,8
149,81,3
150,81,5
151,82,6
152,82,8
153,82,7
154,83,10
155,83,7
156,83,2
157,84,5
158,85,2
159,85,3
160,86,9
161,86,2
162,86,3
163,87,5
164,88,4
165,89,6
166,90,10
167,90,5
168,91,6
169,92,7
170,92,5
171,93,2
172,93,1
173,94,1
174,94,5
175,95,6
176,95,4
177,95,10
178,96,9
179,96,2
180,97,2
181,97,7
182,97,3
183,98,3
184,98,5
185,98,7
186,99,9
187,99,2
188,100,8
189,100,7
190,101,4
191,101,8
192,101,5
193,102,5
194,103,8
195,103,6
196,103,7
197,104,4
198,104,2
199,104,5
200,105,10
201,105,4
202,106,6
203,107,6
204,107,7
205,107,9
206,108,5
207,108,8
208,109,3
209,110,4
210,110,7
211,110,2
212,111,8
213,112,9
214,112,4
215,113,6
216,113,10
217,113,4
218,114,10
219,114,3
220,114,8
221,115,2
222,116,7
223,116,4
224,116,3
225,117,8
226,117,4
227,118,10
228,118,1
229,119,7
230,119,5
231,119,10
232,120,2
233,120,6
234,120,9
235,121,2
236,121,4
237,121,8
238,122,6
239,123,3
240,123,6
241,123,10
242,124,5
243,125,10
244,125,3
245,125,7
246,126,8
247,127,10
248,127,8
249,127,6
250,128,1
251,128,2
252,128,8
253,129,7
254,129,2
255,129,8
256,130,10
257,130,2
258,131,5
259,132,6
260,133,8
261,134,10
262,135,6
263,136,1
264,136,4
265,136,8
266,137,4
267,138,7
268,138,1
269,139,3
270,139,2
271,139,4
272,140,7
273,140,10
274,141,4
275,141,9
276,142,3
277,142,2
278,143,2
279,143,7
280,144,4
281,145,6
282,146,4
283,147,6
284,147,8
285,147,3
286,148,4
287,148,10
288,149,5
289,149,8
290,149,1
291,150,1
292,150,4
293,150,6
294,151,2
295,152,3
296,152,7
297,152,1
298,153,3
299,153,10
300,153,7
301,154,1
302,154,3
303,155,2
304,156,4
305,157,1
306,158,6
307,158,5
308,158,8
309,159,8
310,160,1
311,161,4
312,162,8
313,163,4
314,163,2
315,164,1
316,164,10
317,165,7
318,166,5
319,166,9
320,167,7
321,167,2
322,168,4
323,168,8
324,169,1
325,170,3
326,170,5
327,170,7
328,171,3
329,171,10
330,171,9
331,172,3
332,173,8
333,173,5
334,173,10
335,174,7
336,174,1
337,175,3
338,175,2
339,175,1
340,176,3
341,176,6
342,176,2
343,177,3
344,177,1
345,178,9
346,178,10
347,178,6
348,179,4
349,180,4
350,180,10
351,180,6
352,181,1
353,181,10
354,182,8
355,182,2
356,182,10
357,183,10
358,184,3
359,184,9
360,185,9
361,185,4
362,186,4
363,187,7
364,187,8
365,187,6
366,188,9
367,189,10
368,190,3
369,191,7
370,191,2
371,191,5
372,192,9
373,193,5
374,193,6
375,194,8
376,194,1
377,194,2
378,195,7
379,195,6
380,196,3
381,196,10
382,196,5
383,197,5
384,198,5
385,198,1
386,198,4
387,199,9
388,200,6
389,200,2
390,200,9
391,201,1
392,202,9
393,202,3
394,203,8
395,203,10
396,204,10
397,205,6
398,205,5
399,206,2
400,206,3
401,207,7
402,208,8
403,208,3
404,209,2
405,209,10
406,209,9
407,210,1
408,211,1
409,211,9
410,211,5
411,212,3
412,212,1
413,212,6
414,213,7
415,213,3
416,214,6
417,214,1
418,214,2
419,215,3
420,216,4
421,216,3
422,217,9
423,217,1
424,217,10
425,218,7
426,218,10
427,219,6
428,220,10
429,220,3
430,221,8
431,222,6
432,223,4
433,223,6
434,223,9
435,224,3
436,225,8
437,226,2
438,226,9
439,227,3
440,227,4
441,228,1
442,228,5
443,229,3
444,229,5
445,229,6
446,230,4
447,230,9
448,230,8
449,231,1
450,231,8
451,232,8
452,232,7
453,232,4
454,233,1
455,233,3
456,233,10
457,234,3
458,234,7
459,234,10
460,235,1
461,235,4
462,235,6
463,236,4
464,237,2
465,237,10
466,237,4
467,238,10
468,239,2
469,240,7
470,240,8
471,240,10
472,241,3
473,241,6
474,242,3
475,242,9
476,242,7
477,243,6
478,243,10
479,243,3
480,244,8
481,245,6
482,245,8
483,245,7
484,246,7
485,247,9
486,248,9
487,248,6
488,249,1
489,249,8
490,249,3
491,250,6
492,250,4
493,250,8
494,251,3
495,252,10
496,252,6
497,253,3
498,253,5
499,254,8
500,254,1
501,254,3
502,255,2
503,255,3
504,256,7
