id,video_id,sponsor_id,payout_usd
1,173,4,11159
2,118,2,42458
3,181,11,10026
4,286,4,27004
5,65,9,27723
6,205,16,12737
7,424,4,43784
8,126,2,24584
9,122,14,22298
10,226,12,32692
11,95,3,45912
12,19,14,10550
13,413,7,11744
14,186,12,40189
15,165,5,25652
16,464,17,25210
17,351,3,6976
18,152,3,19724
19,154,13,48407
20,367,20,32911
21,495,11,4552
22,114,15,31060
23,493,10,37149
24,314,15,1432
25,30,3,6516
26,274,16,45607
27,332,20,42480
28,129,17,12494
29,306,14,27040
30,120,13,37516
31,359,12,47278
32,443,17,12798
33,321,13,43520
34,470,3,38702
35,311,9,5779
36,179,6,36187
37,10,9,25292
38,484,2,33644
39,16,6,37480
40,418,9,9660
41,86,11,41977
42,77,5,12340
43,163,9,10136
44,232,4,41888
45,381,13,9594
46,234,19,21425
47,296,9,33664
48,89,10,7851
49,264,11,47863
50,457,7,8313
51,440,13,39465
52,282,20,10610
53,216,11,33954
54,147,12,38516
55,61,13,34037
56,285,10,42244
57,356,1,46903
58,466,10,24719
59,47,2,12764
60,175,7,36549
61,487,16,5269
62,236,12,39465
63,155,19,12370
64,279,2,33458
65,107,3,4426
66,134,4,46335
67,139,9,32652
68,225,1,7882
69,455,10,30450
70,412,12,15463
71,287,10,46384
72,199,11,44280
73,153,13,29707
74,313,13,12467
75,258,8,1896
76,204,3,26209
77,486,19,25063
78,360,20,24646
79,248,10,6828
80,353,8,15074
81,365,15,2001
82,269,8,46214
83,434,13,41973
84,68,10,31899
85,357,1,12534
86,233,19,19292
87,56,19,40663
88,346,1,24647
89,460,17,21607
90,195,17,19254
91,325,20,29912
92,320,4,23634
93,192,19,28894
94,90,11,18219
95,459,5,26808
96,39,15,49960
97,261,3,11099
98,201,18,35993
99,383,19,21204
100,105,12,23407
101,222,14,7633
102,333,7,14703
103,67,14,12233
104,335,19,49148
105,180,16,33568
106,117,12,16593
107,267,10,46961
108,71,4,8838
109,135,11,45347
110,482,1,24380
111,45,13,38425
112,338,12,6296
113,168,18,6118
114,60,1,9378
115,212,1,12026
116,444,11,8135
117,3,16,12193
118,253,15,25357
119,284,18,39579
120,307,13,49705
121,145,10,27052
122,377,10,3597
123,469,17,16764
124,297,10,47081
125,275,3,14553
126,242,13,28037
127,11,1,3229
128,1,19,18022
129,17,2,19252
130,64,2,4424
131,402,1,36543
132,461,10,8878
133,427,8,38630
134,380,15,2297
135,431,6,4827
136,289,10,49770
137,7,11,27656
138,51,12,3823
139,350,10,49254
140,428,8,27019
141,298,10,33143
142,419,16,45857
143,344,15,8943
144,301,15,41523
145,191,1,22735
146,25,5,26260
147,182,1,23434
148,238,19,31863
149,96,9,36253
150,446,5,10043
151,422,1,39131
152,14,8,2495
153,276,5,38743
154,442,3,8630
155,299,17,44909
156,372,3,12422
157,481,9,17881
158,390,14,36353
159,485,10,26346
160,391,10,9454
161,403,8,2223
162,281,15,15558
163,475,14,5918
164,255,3,4120
165,24,8,12207
166,46,14,24182
167,133,19,10552
168,32,14,19790
169,79,14,24532
170,330,3,646
171,6,7,4244
172,398,7,6136
173,125,10,47299
174,436,11,37049
175,324,18,7275
176,224,5,14925
177,382,13,32072
178,349,4,48869
179,189,13,42106
180,72,1,20148
181,499,18,40537
182,9,15,15681
183,448,14,18348
184,187,2,35136
185,405,11,24632
186,456,5,36575
187,59,12,23962
188,348,11,11962
189,148,1,29648
190,128,2,19160
191,48,3,42012
192,97,6,44859
193,62,7,37105
194,93,9,19126
195,278,6,7190
196,337,4,25432
197,407,3,6900
198,103,16,25452
199,491,16,2969
200,85,5,34870
