video_id,channel_id,title,duration_sec,upload_date
1,22,Amazing Video 1,3236,2023-01-11
2,5,Amazing Video 2,3565,2023-10-03
3,24,Amazing Video 3,1065,2024-01-24
4,44,Amazing Video 4,3128,2023-03-04
5,90,Amazing Video 5,3171,2023-12-02
6,64,Amazing Video 6,1579,2023-07-19
7,42,Amazing Video 7,3592,2023-08-14
8,39,Amazing Video 8,1746,2023-07-24
9,14,Amazing Video 9,1175,2023-05-02
10,95,Amazing Video 10,1950,2023-02-18
11,63,Amazing Video 11,1836,2023-08-11
12,6,Amazing Video 12,2376,2023-01-12
13,41,Amazing Video 13,1403,2023-03-12
14,68,Amazing Video 14,1421,2023-10-25
15,93,Amazing Video 15,1149,2023-05-02
16,23,Amazing Video 16,3279,2023-02-10
17,44,Amazing Video 17,442,2023-10-29
18,20,Amazing Video 18,2565,2023-07-23
19,9,Amazing Video 19,841,2023-04-14
20,66,Amazing Video 20,421,2023-03-20
21,38,Amazing Video 21,1753,2023-10-24
22,35,Amazing Video 22,1230,2023-03-28
23,60,Amazing Video 23,2140,2023-11-18
24,11,Amazing Video 24,3317,2023-08-01
25,94,Amazing Video 25,720,2023-01-10
26,90,Amazing Video 26,3226,2023-01-26
27,77,Amazing Video 27,1888,2023-04-20
28,68,Amazing Video 28,3114,2023-02-18
29,8,Amazing Video 29,1569,2023-10-15
30,66,Amazing Video 30,3428,2023-07-27
31,11,Amazing Video 31,3281,2024-01-26
32,1,Amazing Video 32,2234,2023-01-04
33,26,Amazing Video 33,3462,2023-12-08
34,22,Amazing Video 34,3455,2023-05-26
35,5,Amazing Video 35,602,2023-10-29
36,84,Amazing Video 36,2230,2023-01-18
37,49,Amazing Video 37,412,2023-05-28
38,89,Amazing Video 38,1271,2023-09-03
39,8,Amazing Video 39,781,2023-03-03
40,66,Amazing Video 40,591,2023-03-10
41,93,Amazing Video 41,2202,2023-01-19
42,37,Amazing Video 42,2703,2024-01-13
43,94,Amazing Video 43,1643,2023-03-06
44,94,Amazing Video 44,430,2023-12-26
45,11,Amazing Video 45,925,2023-01-24
46,81,Amazing Video 46,233,2023-11-19
47,93,Amazing Video 47,2335,2023-04-21
48,100,Amazing Video 48,1645,2023-07-21
49,67,Amazing Video 49,1777,2024-01-08
50,100,Amazing Video 50,826,2023-01-02
51,91,Amazing Video 51,3395,2023-03-20
52,79,Amazing Video 52,1419,2023-06-05
53,51,Amazing Video 53,570,2023-09-01
54,25,Amazing Video 54,457,2023-08-22
55,88,Amazing Video 55,1162,2023-01-31
56,30,Amazing Video 56,2930,2023-04-21
57,25,Amazing Video 57,1958,2023-07-18
58,45,Amazing Video 58,3494,2023-08-24
59,25,Amazing Video 59,2632,2023-11-12
60,49,Amazing Video 60,3594,2023-12-11
61,6,Amazing Video 61,2396,2023-08-18
62,32,Amazing Video 62,2996,2023-05-25
63,4,Amazing Video 63,3025,2023-06-28
64,41,Amazing Video 64,2309,2023-03-18
65,85,Amazing Video 65,2033,2023-08-31
66,47,Amazing Video 66,1148,2023-04-13
67,15,Amazing Video 67,2404,2023-04-15
68,87,Amazing Video 68,776,2023-06-01
69,98,Amazing Video 69,1541,2023-06-19
70,41,Amazing Video 70,465,2023-10-30
71,20,Amazing Video 71,3284,2023-01-17
72,50,Amazing Video 72,2548,2023-03-17
73,46,Amazing Video 73,1678,2023-03-24
74,76,Amazing Video 74,2557,2023-02-19
75,33,Amazing Video 75,182,2023-10-02
76,99,Amazing Video 76,482,2023-10-31
77,78,Amazing Video 77,2768,2023-02-01
78,92,Amazing Video 78,1332,2023-09-10
79,8,Amazing Video 79,2788,2023-12-23
80,97,Amazing Video 80,598,2024-01-03
81,85,Amazing Video 81,1589,2023-10-27
82,9,Amazing Video 82,142,2023-09-26
83,79,Amazing Video 83,1186,2023-07-19
84,20,Amazing Video 84,430,2023-01-06
85,78,Amazing Video 85,1721,2023-01-18
86,57,Amazing Video 86,2179,2023-11-17
87,98,Amazing Video 87,881,2023-01-09
88,43,Amazing Video 88,405,2023-06-04
89,25,Amazing Video 89,2195,2024-02-01
90,16,Amazing Video 90,2410,2023-02-13
91,51,Amazing Video 91,579,2023-04-16
92,42,Amazing Video 92,3492,2023-04-29
93,76,Amazing Video 93,1830,2023-02-26
94,78,Amazing Video 94,879,2023-08-28
95,73,Amazing Video 95,1287,2023-07-14
96,88,Amazing Video 96,2377,2023-11-07
97,84,Amazing Video 97,1096,2023-08-20
