revenue_id,video_id,date,ad_impressions,cpm_usd,revenue_earned_usd
1,1,2024-02-19,18724,8.39,157.09
2,1,2024-03-11,33592,8.87,297.96
3,2,2024-03-02,40017,7.62,304.93
4,2,2024-02-16,1352,5.63,7.61
5,3,2024-01-17,13466,4.5,60.6
6,3,2024-01-21,26188,11.18,292.78
7,3,2024-01-29,23438,11.81,276.8
8,4,2024-03-07,34713,8.18,283.95
9,4,2024-01-05,31665,7.07,223.87
10,4,2024-03-21,39633,3.99,158.14
11,4,2024-03-02,1682,11.87,19.97
12,5,2024-01-04,45790,9.55,437.29
13,5,2024-02-15,14744,3.29,48.51
14,5,2024-02-25,42710,5.66,241.74
15,5,2024-02-27,5468,10.87,59.44
16,6,2024-03-07,4019,7.82,31.43
17,6,2024-03-17,36542,5.18,189.29
18,6,2024-03-30,42149,3.24,136.56
19,6,2024-02-21,26217,9.17,240.41
20,6,2024-02-20,48757,6.81,332.04
21,7,2024-03-21,10366,7.72,80.03
22,7,2024-03-09,32138,10.94,351.59
23,8,2024-02-28,34009,7.83,266.29
24,8,2024-01-23,42967,5.46,234.6
25,9,2024-01-25,39331,11.67,458.99
26,9,2024-02-13,32040,9.61,307.9
27,10,2024-02-22,48433,9.91,479.97
28,10,2024-03-04,5277,7.6,40.11
29,11,2024-03-16,10363,5.53,57.31
30,11,2024-03-10,37998,4.37,166.05
31,12,2024-03-05,16790,8.75,146.91
32,12,2024-01-28,43065,11.54,496.97
33,12,2024-01-30,7822,3.23,25.27
34,12,2024-01-09,18989,3.88,73.68
35,12,2024-02-19,35499,4.21,149.45
36,13,2024-03-26,27645,7.35,203.19
37,13,2024-02-27,16118,4.05,65.28
38,14,2024-03-29,40875,9.14,373.6
39,14,2024-01-12,13900,3.7,51.43
40,14,2024-01-20,23705,2.67,63.29
41,14,2024-02-19,45547,3.72,169.43
42,15,2024-02-27,34520,5.23,180.54
43,15,2024-01-01,35180,6.75,237.47
44,15,2024-01-23,35883,10.34,371.03
45,15,2024-02-23,37985,4.3,163.34
46,16,2024-02-05,18826,9.67,182.05
47,16,2024-02-07,46249,6.14,283.97
48,16,2024-03-12,25322,9.08,229.92
49,16,2024-01-14,24854,8.74,217.22
50,17,2024-03-14,46668,9.64,449.88
51,17,2024-01-18,11265,6.39,71.98
52,17,2024-03-11,6551,10.15,66.49
53,17,2024-02-12,33799,8.5,287.29
54,17,2024-01-31,14865,5.82,86.51
55,18,2024-01-26,24079,11.82,284.61
56,18,2024-03-22,26960,4.74,127.79
57,18,2024-02-11,12648,7.85,99.29
58,18,2024-02-15,16036,5.17,82.91
59,19,2024-01-02,34043,10.58,360.17
60,19,2024-01-27,19766,4.8,94.88
61,19,2024-01-19,4777,3.96,18.92
62,20,2024-01-27,4369,4.5,19.66
63,20,2024-02-02,19594,2.52,49.38
64,20,2024-01-21,1343,6.83,9.17
65,20,2024-01-01,14125,4.75,67.09
66,20,2024-03-25,17571,8.93,156.91
67,21,2024-03-07,40985,3.83,156.97
68,21,2024-01-18,2409,5.93,14.29
69,21,2024-01-30,48149,11.33,545.53
70,22,2024-02-05,45063,2.83,127.53
71,22,2024-01-17,40331,11.21,452.11
72,22,2024-02-10,2853,9.53,27.19
73,22,2024-03-28,2620,9.55,25.02
74,22,2024-02-09,36444,4.61,168.01
75,23,2024-03-18,46016,7.04,323.95
