membership_id,channel_id,user_id,tier_level,monthly_fee
1,20,369,1,4.99
2,72,946,1,9.99
3,30,519,1,9.99
4,95,357,1,4.99
5,40,378,1,4.99
6,87,221,1,4.99
7,51,554,2,9.99
8,7,239,1,4.99
9,83,992,1,9.99
10,66,897,1,4.99
11,67,543,1,9.99
12,36,552,1,4.99
13,67,621,1,4.99
14,58,822,1,4.99
15,32,386,1,24.99
16,71,230,1,4.99
17,100,28,1,9.99
18,80,759,1,4.99
19,100,255,1,4.99
20,6,212,1,4.99
21,58,404,2,9.99
22,23,578,1,4.99
23,47,645,1,4.99
24,77,789,1,4.99
25,3,930,2,4.99
26,3,504,1,4.99
27,90,323,1,24.99
28,57,382,3,24.99
29,7,391,3,4.99
30,61,787,1,4.99
31,28,876,1,4.99
32,40,180,1,4.99
33,57,690,1,9.99
34,48,969,1,4.99
35,29,743,2,9.99
36,94,718,1,4.99
37,20,531,3,4.99
38,78,98,3,9.99
39,55,203,2,4.99
40,18,822,1,4.99
41,92,350,1,24.99
42,96,792,3,4.99
43,77,353,1,4.99
44,94,894,1,4.99
45,71,13,1,4.99
46,69,905,1,4.99
47,39,730,1,4.99
48,12,446,1,4.99
49,11,10,1,4.99
50,20,125,1,24.99
51,81,55,2,4.99
52,48,136,1,9.99
53,86,33,2,4.99
54,9,797,1,4.99
55,61,364,1,4.99
56,63,546,1,4.99
57,70,392,1,24.99
58,89,829,1,4.99
59,17,994,1,4.99
60,67,902,2,4.99
61,89,534,1,4.99
62,7,669,1,9.99
63,6,490,1,4.99
64,25,257,3,4.99
65,60,607,1,4.99
66,76,679,1,4.99
67,2,554,1,4.99
68,37,501,2,9.99
69,69,597,1,4.99
70,50,769,1,4.99
71,54,469,2,4.99
72,74,650,1,4.99
73,70,223,1,4.99
74,22,346,2,4.99
75,56,675,2,9.99
76,2,994,1,4.99
77,25,239,1,4.99
78,48,524,1,4.99
79,23,346,3,4.99
80,26,979,1,4.99
81,90,193,3,4.99
82,74,939,1,24.99
83,55,74,1,4.99
84,11,546,1,4.99
85,21,539,3,9.99
86,15,104,2,9.99
87,39,258,1,24.99
88,72,676,1,4.99
89,66,557,2,4.99
90,40,722,1,4.99
91,66,70,3,4.99
92,58,185,2,4.99
93,41,785,1,4.99
94,65,49,2,4.99
95,37,549,2,4.99
96,94,282,2,9.99
97,18,474,1,4.99
98,86,968,1,4.99
99,30,888,3,9.99
100,80,307,1,4.99
101,99,209,2,4.99
102,27,831,3,4.99
103,98,712,1,4.99
104,66,40,1,4.99
105,64,777,1,4.99
106,36,702,1,4.99
107,32,574,1,4.99
108,32,460,1,4.99
109,45,702,1,4.99
110,69,661,1,24.99
111,71,918,1,4.99
112,63,502,1,4.99
113,18,570,1,4.99
114,31,626,3,4.99
115,57,291,1,4.99
116,45,153,3,24.99
117,10,905,1,4.99
118,1,643,1,24.99
119,60,871,1,4.99
120,18,216,1,4.99
121,54,928,1,4.99
122,74,67,1,24.99
123,96,890,3,4.99
124,52,929,3,24.99
125,32,10,2,4.99
126,43,101,1,4.99
127,44,344,1,4.99
128,38,857,1,9.99
129,46,220,1,4.99
130,77,327,1,9.99
131,95,445,1,4.99
132,52,241,3,4.99
133,24,715,1,4.99
134,44,686,1,4.99
135,40,298,1,4.99
136,97,769,1,9.99
137,34,796,1,4.99
138,13,88,1,4.99
139,18,557,1,4.99
140,45,935,1,9.99
141,49,769,1,4.99
142,70,163,1,4.99
143,24,619,1,4.99
144,46,456,1,4.99
145,8,818,1,9.99
146,66,725,1,24.99
147,40,292,1,4.99
148,96,711,3,4.99
149,27,406,1,24.99
150,36,618,1,4.99
151,88,534,2,4.99
152,26,758,2,4.99
153,47,225,1,4.99
154,74,595,3,4.99
155,37,935,1,24.99
156,8,377,2,4.99
157,65,562,2,9.99
158,32,490,1,4.99
159,9,696,1,9.99
160,77,888,1,9.99
161,33,603,1,9.99
162,89,209,3,4.99
163,99,34,1,4.99
164,16,803,1,9.99
165,89,584,2,9.99
166,24,188,1,4.99
167,59,683,1,4.99
168,76,585,1,4.99
169,99,202,1,4.99
170,45,132,2,9.99
171,10,171,1,9.99
172,79,504,3,9.99
173,24,469,1,9.99
174,94,96,2,4.99
175,5,318,1,4.99
176,85,209,1,4.99
177,81,680,3,24.99
178,60,157,1,4.99
179,28,973,1,9.99
180,89,289,1,4.99
181,46,64,1,9.99
182,59,272,2,4.99
183,90,333,1,4.99
184,24,502,2,4.99
185,31,676,3,24.99
186,91,165,1,4.99
187,70,720,1,4.99
188,34,79,1,4.99
189,14,880,2,4.99
190,92,943,1,4.99
191,100,1000,1,4.99
192,51,469,3,4.99
193,44,812,3,4.99
194,40,885,2,4.99
195,2,168,1,4.99
196,36,537,3,4.99
197,77,486,1,4.99
198,69,66,1,9.99
199,90,752,2,4.99
200,94,644,1,4.99
201,87,806,3,4.99
202,44,331,1,4.99
203,94,676,1,4.99
204,27,768,1,4.99
205,49,407,1,9.99
206,65,670,1,4.99
207,94,349,1,4.99
208,9,442,2,9.99
209,19,145,1,4.99
210,93,206,2,4.99
211,28,984,1,9.99
212,28,650,3,4.99
213,5,53,1,4.99
214,64,274,1,9.99
215,18,751,1,4.99
216,8,758,2,4.99
217,70,579,2,4.99
218,84,267,2,24.99
219,43,873,1,4.99
220,1,462,1,24.99
221,66,931,1,9.99
222,81,10,1,4.99
223,73,500,1,24.99
224,22,398,1,4.99
225,60,636,3,4.99
226,64,444,1,4.99
227,7,256,1,4.99
228,34,422,1,4.99
229,52,442,1,4.99
230,91,948,1,4.99
231,13,583,2,4.99
232,46,125,1,4.99
233,55,458,1,4.99
234,28,111,1,4.99
235,50,235,1,9.99
236,83,562,2,4.99
237,56,249,2,4.99
238,98,330,1,4.99
239,70,307,2,4.99
240,42,920,3,4.99
241,38,65,1,4.99
242,27,23,1,4.99
243,89,906,1,4.99
244,5,320,1,4.99
245,83,903,1,4.99
246,88,940,1,4.99
247,43,894,2,4.99
248,9,792,1,4.99
249,22,340,1,4.99
250,36,522,1,4.99
251,12,534,1,9.99
252,16,40,1,4.99
253,95,515,1,24.99
254,16,935,2,9.99
255,8,655,1,4.99
256,11,608,2,9.99
257,76,547,1,4.99
258,87,599,1,4.99
259,18,245,1,9.99
260,88,722,1,4.99
261,85,925,2,4.99
262,46,174,3,9.99
263,5,476,1,9.99
264,23,261,1,9.99
265,59,68,3,4.99
266,54,389,1,4.99
267,10,943,2,4.99
268,14,156,1,4.99
269,22,127,1,9.99
270,9,838,1,4.99
271,70,313,3,4.99
272,97,564,1,4.99
273,17,569,1,24.99
274,21,552,2,4.99
275,20,648,1,9.99
276,4,2,2,9.99
277,85,510,3,4.99
278,80,243,1,4.99
279,30,352,1,9.99
280,79,903,1,4.99
281,30,452,1,4.99
282,99,431,2,4.99
283,63,26,1,4.99
284,63,304,3,4.99
285,46,616,1,4.99
286,55,621,1,4.99
287,97,409,1,4.99
288,91,560,1,4.99
289,64,413,2,9.99
290,46,735,1,24.99
291,20,464,1,4.99
292,17,777,1,24.99
293,18,622,3,9.99
294,40,725,1,9.99
295,27,710,1,4.99
296,49,146,2,9.99
297,94,792,2,4.99
298,45,335,1,4.99
299,56,827,2,4.99
300,12,152,1,4.99
301,91,847,1,9.99
302,88,926,2,4.99
303,57,365,1,24.99
304,21,724,1,9.99
305,49,536,1,4.99
306,1,94,3,4.99
307,54,927,2,4.99
308,29,726,1,4.99
309,35,46,1,9.99
310,85,705,1,4.99
311,100,699,1,4.99
312,37,763,1,4.99
313,47,550,2,4.99
314,82,86,2,4.99
315,3,62,1,4.99
316,99,10,2,4.99
317,85,731,1,4.99
318,42,484,1,9.99
319,47,426,1,4.99
320,56,683,1,4.99
321,97,815,2,4.99
322,56,721,1,24.99
323,97,338,1,4.99
324,17,784,2,4.99
325,11,971,1,4.99
326,89,172,1,9.99
327,64,43,1,4.99
328,31,918,3,4.99
329,54,300,2,4.99
330,15,629,1,4.99
331,4,198,1,4.99
332,18,905,1,4.99
333,24,177,1,4.99
334,61,700,1,4.99
335,10,895,1,4.99
336,47,485,3,9.99
337,61,290,1,9.99
338,16,658,2,4.99
339,21,937,1,4.99
340,38,888,1,9.99
341,15,818,1,4.99
342,29,555,1,4.99
343,33,414,1,4.99
344,79,61,3,4.99
345,34,498,1,4.99
346,98,495,2,4.99
347,62,843,3,9.99
348,36,399,2,4.99
349,28,32,1,4.99
350,54,390,2,4.99
351,14,209,2,4.99
352,44,850,1,24.99
353,74,728,1,4.99
354,37,353,1,9.99
355,65,709,1,4.99
356,5,376,2,9.99
357,71,869,1,24.99
358,30,359,1,9.99
359,85,329,1,4.99
360,42,457,3,4.99
361,15,105,1,9.99
362,78,395,1,24.99
363,82,803,1,9.99
364,87,301,1,4.99
365,71,79,1,4.99
366,5,149,3,4.99
367,64,583,1,9.99
368,34,154,1,4.99
369,82,306,3,9.99
370,81,80,1,4.99
371,29,458,1,9.99
372,62,228,1,4.99
373,42,408,2,4.99
374,8,401,1,4.99
375,47,412,3,4.99
376,13,556,1,4.99
377,65,974,1,24.99
378,61,420,1,4.99
379,29,47,2,9.99
380,51,695,2,4.99
381,91,958,1,4.99
382,96,772,1,4.99
383,5,275,1,4.99
384,18,760,1,4.99
385,34,757,1,4.99
386,43,513,1,4.99
387,89,354,1,4.99
388,41,409,1,24.99
389,54,906,1,4.99
390,83,569,3,4.99
391,4,210,1,4.99
392,77,467,1,4.99
393,95,856,1,4.99
394,30,192,1,4.99
395,50,636,1,4.99
396,14,398,1,4.99
397,65,515,1,24.99
398,45,804,1,4.99
399,75,133,1,9.99
400,57,562,1,4.99
401,21,890,1,24.99
402,47,586,1,4.99
403,80,764,1,4.99
404,13,147,2,4.99
405,20,419,2,4.99
406,10,881,1,9.99
407,29,375,1,24.99
408,73,450,2,4.99
409,34,792,1,4.99
410,71,241,1,9.99
411,79,176,1,4.99
412,76,742,2,4.99
413,97,814,1,4.99
414,95,576,2,4.99
415,99,119,1,4.99
416,60,361,1,4.99
417,67,122,3,24.99
418,64,112,1,9.99
419,21,912,2,4.99
420,99,280,2,4.99
421,59,258,1,4.99
422,61,154,3,4.99
423,23,729,1,4.99
424,64,83,1,4.99
425,77,379,1,4.99
426,75,486,1,24.99
427,27,931,3,4.99
428,96,8,1,9.99
429,93,564,1,4.99
430,65,719,2,4.99
431,8,680,2,24.99
432,81,19,1,4.99
433,19,569,2,9.99
434,93,233,1,4.99
435,55,716,1,24.99
436,27,64,2,4.99
437,10,952,1,24.99
438,84,31,1,9.99
439,47,248,1,4.99
440,3,549,1,4.99
441,70,638,1,9.99
442,90,894,3,4.99
443,75,768,1,9.99
444,29,377,1,4.99
445,81,192,3,4.99
446,2,904,1,4.99
447,13,375,1,4.99
448,33,382,1,4.99
449,26,862,1,4.99
450,3,368,1,9.99
451,5,441,1,4.99
452,16,932,1,9.99
453,65,422,1,9.99
454,48,357,1,4.99
455,32,810,2,4.99
456,96,950,1,4.99
457,91,799,1,4.99
458,57,512,3,4.99
459,9,620,2,9.99
460,39,314,1,4.99
461,71,220,1,4.99
462,22,314,1,4.99
463,26,663,1,4.99
464,48,854,1,9.99
465,91,706,1,4.99
466,76,781,1,4.99
467,78,399,1,24.99
468,98,79,2,4.99
469,40,425,2,4.99
470,69,824,1,4.99
471,31,827,1,24.99
472,47,496,1,4.99
473,11,793,1,9.99
474,61,237,1,9.99
475,64,919,1,4.99
476,12,139,1,4.99
477,56,762,1,4.99
478,13,691,1,4.99
479,30,326,1,4.99
480,13,574,1,4.99
481,67,201,1,9.99
482,77,710,1,4.99
483,40,160,1,4.99
484,63,444,1,4.99
