video_id,total_views,total_likes,total_comments,watch_time_hours
1,8858043,56871,45444,93743.69
2,7978865,491030,36126,29709.18
3,7004637,191562,13921,51959.77
4,4709166,144004,11588,69601.44
5,9406918,449913,17498,19744.56
6,4207276,231584,14496,15166.4
7,7777013,400933,44747,62497.58
8,8905786,259490,33687,35508.95
9,5085041,88676,46933,79023.26
10,1811459,309329,36721,77264.24
11,9145553,67333,17126,71646.19
12,95870,60155,22656,88002.55
13,1240342,121628,13787,61090.43
14,9113456,12005,19765,13633.42
15,7439872,47448,16747,7019.33
16,3532454,390102,24608,17411.73
17,4211777,15408,11205,92958.32
18,7106485,417619,34289,13165.05
19,8761921,214879,11343,49604.12
20,3746665,238971,16,50081.77
21,7824447,115256,37043,47021.92
22,1348688,476609,34142,11596.13
23,4499556,146326,39629,43153.44
24,8487777,103062,937,3609.19
25,2166801,41138,15669,87575.17
26,6201183,478417,11000,44363.13
27,8569095,196886,22906,95838.49
28,2809948,449454,33285,54058.63
29,5923193,44991,48587,20451.52
30,7281892,12131,31378,26608.39
31,9387861,453735,25791,38651.89
32,8003979,495782,17457,18375.28
33,353864,255348,3433,49684.94
34,267735,315830,44442,66902.86
35,6466325,274175,49250,9404.45
36,4914153,129570,35343,87617.3
37,1936065,61666,30355,47709.02
38,3699602,61138,46096,23093.71
39,5273237,285091,32117,33186.09
40,3925111,126248,15338,51754.82
41,3723293,475945,34672,66609.32
42,3397455,115117,6614,6179.07
43,3422166,345695,10399,60391.78
44,561871,131883,49405,63938.72
45,6491003,333358,8610,86052.6
46,9086855,48336,23298,84616.38
47,1784610,236578,20448,17939.38
48,5767314,392856,19167,1427.9
49,6572162,476196,114,54274.28
50,1024050,168151,47671,75210.82
51,3240480,183500,33909,35881.91
52,1617018,133513,11910,29496.71
53,1672803,24241,18683,7480.06
54,7700779,470682,45977,88517.51
55,3024070,235885,11728,94081.99
56,6906017,486887,26413,76223.33
57,5938845,311072,16455,66477.85
58,6273173,291473,34831,90577.7
59,5517271,246078,39565,76205.81
60,7080900,307157,344,27805.21
61,8125051,45353,34236,90375.89
62,4311949,150110,32641,53927.6
63,3170349,407822,35120,26851.45
64,117415,215658,18707,57827.51
65,650551,366249,46870,53188.14
66,1486033,17831,2703,88072.94
67,1303911,8509,32240,98524.48
68,7828811,302640,40344,10279.95
69,8843010,375784,6289,94024.98
70,6411194,191115,26506,69160.78
71,1032324,203857,34691,37641.59
72,2973714,70845,47266,98804.56
73,2881595,244442,17184,85279.72
74,8668081,409999,29420,1677.65
75,4366889,386816,31215,40802.93
76,688154,410339,48514,79567.88
77,9953674,291239,10238,31159.65
78,4355870,83785,20031,51240.26
79,5520017,149380,33132,32045.52
80,5256108,344759,24935,37517.54
81,5868381,413139,46034,61711.11
82,6105046,56569,3459,33220.18
83,7763759,391386,48065,43888.85
84,6063824,213947,47596,24102.54
85,3617174,298417,32524,40775.79
86,8811839,284184,6425,63476.92
87,8941431,406482,46203,3943.77
88,7582223,69996,5251,93887.52
89,1146930,294370,18664,86936.34
90,7433604,436883,25715,73557.14
91,4098970,212779,24097,16958.23
92,1716521,410217,10462,20399.65
93,2886236,417298,23923,86005.25
94,9876336,62951,16630,8484.72
95,1484020,200311,1648,3152.06
96,1441742,87903,38760,84250.87
97,7123392,105234,10234,69483.99
98,3620876,406316,20808,58241.41
99,1755294,474590,23723,37229.66
100,4779576,34286,17612,41591.89
101,4660097,324578,13145,91181.88
102,4861540,231841,37233,92041.74
103,629813,225339,13571,15122.5
104,9062828,376726,33220,52023.2
105,1235948,145853,23553,73063.16
106,7039773,151658,8758,20147.52
107,7867744,74840,25806,30471.28
108,126104,293451,33887,8626.66
109,6080301,340230,6042,36566.78
110,6422237,461597,45173,18924.15
111,9181880,376404,2522,98253.67
112,4074236,63145,41542,2558.83
113,5881249,141345,19991,60225.39
114,2164954,131675,33276,75472.14
115,957382,277328,38992,5266.4
116,1845978,328497,30266,23933.95
117,1209396,357749,21535,67902.14
118,7534904,424985,11510,90712.13
119,9336022,82526,34017,31513.99
120,9616271,16841,48892,15098.68
121,8291733,460882,10310,86882.39
122,7466353,88529,37283,69140.55
123,1081302,330480,12820,20098.72
124,8251670,393984,29148,2013.28
125,1799014,150528,44382,21450.25
126,2567908,444484,20346,40433.46
127,7508045,364901,31878,54355.84
128,1016412,40619,33565,51739.36
129,9362433,117460,8260,91715.94
130,5372127,76776,19135,33078.88
131,241218,299202,46494,78055.62
132,6653234,206355,47226,38295.58
133,4296270,354051,45700,65598.63
134,2308049,152141,43299,81810.07
135,7823182,147300,23231,72393.61
136,7119551,291481,22457,23393.88
137,3770418,395946,27390,44833.51
138,5037680,132461,40352,88980.71
139,3190433,243706,38001,93774.85
140,3958761,88162,2941,87517.01
141,3131423,371167,10300,24380.21
142,3518187,294025,11068,32435.04
143,3137764,422086,34454,62012.17
144,1637788,182237,49096,52104.96
145,6114833,292494,10480,17254.25
146,1981954,178203,30803,14976.72
147,6614806,414074,1874,21999.34
148,1133484,318230,11192,44689.43
149,3166929,313275,27089,60651.01
150,9979289,35631,19182,40312.08
151,4468156,354995,22489,41677.82
152,1664165,452417,26971,90296.12
153,4504495,491839,8382,77480.99
154,1010508,200195,16608,99652.15
155,4658262,334106,6757,30088.09
156,1087294,108246,2929,63034.04
157,8799853,388662,39387,93788.13
158,9538334,251708,4868,92157.34
159,7441869,274402,14259,67215.4
160,9854732,326155,6468,46169.42
161,1823470,183020,47539,2289.62
162,7902402,169716,14058,11264.02
163,2133037,303681,39378,74368.1
164,6285558,14113,3773,63357.55
165,1286971,184227,42194,24350.77
166,6795506,30123,40702,64390.61
