engagement_id,video_id,user_id,interaction_type
1,277,150,Comment
2,197,288,Like
3,227,545,Comment
4,361,370,Dislike
5,96,15,Like
6,286,904,Share
7,223,74,Like
8,15,93,Dislike
9,293,458,Share
10,71,910,Dislike
11,480,731,Dislike
12,430,211,Share
13,46,252,Dislike
14,89,454,Like
15,122,509,Dislike
16,28,745,Like
17,353,1000,Like
18,35,506,Comment
19,426,894,Comment
20,309,346,Like
21,368,899,Share
22,192,99,Share
23,254,472,Share
24,326,679,Share
25,344,253,Dislike
26,288,818,Comment
27,433,972,Comment
28,185,231,Share
29,435,493,Dislike
30,288,967,Dislike
31,21,223,Share
32,162,303,Comment
33,117,204,Dislike
34,67,413,Share
35,114,192,Comment
36,159,327,Comment
37,31,37,Comment
38,92,807,Comment
39,17,958,Comment
40,122,696,Like
41,376,470,Comment
42,212,584,Dislike
43,196,965,Like
44,458,8,Share
45,288,108,Dislike
46,135,929,Share
47,209,873,Comment
48,47,362,Dislike
49,468,147,Dislike
50,242,739,Comment
51,439,578,Comment
52,345,478,Comment
53,439,611,Share
54,357,827,Like
55,393,964,Comment
56,144,156,Dislike
57,194,650,Comment
58,344,549,Dislike
59,491,850,Dislike
60,188,790,Dislike
61,184,476,Like
62,60,224,Like
63,93,6,Dislike
64,46,831,Dislike
65,163,937,Like
66,45,789,Share
67,370,1,Dislike
68,105,541,Dislike
69,2,692,Comment
70,84,866,Like
71,45,795,Comment
72,118,443,Like
73,38,817,Like
74,302,243,Comment
75,13,979,Share
76,147,4,Dislike
77,340,845,Like
78,24,298,Comment
79,379,827,Comment
80,150,197,Like
81,20,117,Comment
82,131,97,Like
83,369,112,Like
84,372,572,Comment
85,493,626,Comment
86,66,579,Comment
87,105,710,Dislike
88,61,820,Like
89,239,232,Share
90,420,345,Comment
91,467,812,Comment
92,436,930,Like
93,497,971,Share
94,101,439,Dislike
95,67,98,Share
96,445,594,Share
97,389,782,Dislike
98,210,12,Like
99,484,180,Dislike
100,428,980,Share
101,208,95,Comment
102,115,865,Like
103,69,467,Share
104,72,745,Dislike
105,220,683,Dislike
106,458,529,Comment
107,291,220,Dislike
108,141,96,Comment
109,187,158,Comment
110,90,255,Dislike
111,136,388,Comment
112,236,210,Share
113,122,693,Like
114,176,262,Share
115,54,971,Share
116,165,430,Like
117,252,348,Share
118,240,966,Comment
119,101,223,Comment
120,323,665,Like
121,25,36,Dislike
122,321,507,Like
123,242,892,Share
124,404,317,Share
125,395,843,Like
126,423,600,Comment
127,256,628,Dislike
128,375,287,Dislike
129,258,862,Dislike
130,461,43,Like
131,389,874,Comment
132,291,538,Comment
133,328,560,Comment
134,270,813,Share
135,141,837,Dislike
136,145,683,Share
137,483,2,Dislike
138,333,408,Comment
139,147,647,Share
140,246,589,Comment
141,250,7,Share
142,85,277,Like
143,406,621,Share
144,308,734,Like
145,101,451,Share
146,407,556,Dislike
147,166,849,Comment
148,382,70,Share
149,68,307,Comment
150,437,998,Dislike
151,360,804,Like
152,369,245,Dislike
153,441,464,Comment
154,434,696,Comment
155,60,629,Share
156,126,461,Comment
157,137,486,Share
158,309,803,Comment
159,238,888,Dislike
160,491,581,Like
161,369,647,Like
162,98,106,Comment
163,76,834,Dislike
164,337,573,Share
165,357,597,Dislike
166,344,66,Dislike
167,1,83,Like
168,86,190,Dislike
169,239,522,Dislike
170,255,851,Like
171,358,664,Share
172,474,23,Share
173,148,79,Like
174,89,259,Share
175,258,367,Like
176,402,329,Comment
177,424,682,Like
178,322,282,Comment
179,306,832,Share
180,75,574,Dislike
181,94,1,Like
182,331,633,Dislike
183,79,473,Dislike
184,472,431,Like
185,157,885,Dislike
186,272,42,Like
187,63,739,Like
188,440,119,Dislike
189,396,35,Like
190,172,719,Share
191,375,596,Comment
192,413,15,Dislike
193,61,968,Comment
194,337,342,Share
195,127,440,Share
196,391,119,Share
197,290,880,Like
198,345,96,Dislike
199,193,556,Share
200,277,223,Comment
201,351,665,Like
202,452,672,Comment
203,446,996,Comment
204,395,225,Comment
205,442,731,Like
206,265,351,Dislike
207,457,42,Comment
208,223,858,Comment
209,258,945,Like
210,446,422,Comment
211,83,391,Like
212,374,608,Like
213,133,217,Like
214,332,938,Dislike
215,448,831,Share
216,267,195,Comment
217,394,709,Like
218,78,353,Share
219,146,726,Share
220,249,887,Dislike
221,390,631,Dislike
222,217,242,Share
223,248,481,Dislike
224,82,231,Share
225,352,780,Comment
226,398,789,Dislike
227,498,97,Comment
228,206,221,Share
229,195,756,Dislike
230,311,588,Like
231,305,491,Dislike
232,290,380,Like
233,249,719,Comment
234,215,243,Like
235,312,376,Like
236,21,611,Share
237,188,170,Dislike
238,188,771,Comment
239,86,391,Comment
240,59,541,Share
241,264,655,Dislike
242,43,433,Share
243,492,811,Dislike
244,93,376,Comment
245,466,973,Like
246,96,692,Comment
247,436,587,Dislike
248,387,515,Dislike
249,477,544,Like
250,3,654,Dislike
251,421,494,Share
252,320,972,Dislike
253,258,671,Comment
254,406,818,Dislike
255,265,281,Dislike
256,203,745,Share
257,124,468,Dislike
258,303,436,Share
259,325,703,Comment
260,244,569,Share
261,284,138,Comment
262,311,961,Like
263,377,78,Like
264,433,734,Like
265,45,976,Like
266,55,154,Comment
267,373,156,Share
268,449,34,Share
269,427,14,Comment
270,356,514,Dislike
271,443,164,Dislike
272,389,868,Comment
273,445,602,Share
274,440,245,Comment
275,421,279,Like
276,386,654,Share
277,67,463,Share
278,393,769,Dislike
279,232,177,Share
280,242,858,Like
281,427,721,Share
282,24,633,Comment
283,382,668,Like
284,180,656,Like
285,359,663,Dislike
286,109,945,Comment
287,285,579,Like
288,146,690,Like
289,452,957,Comment
290,381,530,Share
291,126,822,Comment
292,172,650,Comment
293,387,273,Comment
294,374,566,Share
295,57,894,Dislike
296,364,555,Dislike
297,266,676,Like
298,317,275,Comment
299,126,438,Like
300,353,916,Comment
301,183,772,Dislike
302,97,961,Share
303,269,389,Share
304,497,297,Comment
305,190,519,Share
306,255,29,Like
307,203,713,Share
308,167,928,Share
309,493,982,Dislike
310,199,777,Like
311,192,908,Share
312,451,854,Dislike
313,327,520,Like
314,74,201,Dislike
315,250,905,Dislike
316,142,937,Like
317,233,692,Share
318,31,686,Share
319,208,20,Like
320,353,149,Share
321,227,676,Comment
322,31,443,Dislike
323,79,559,Share
324,69,905,Like
325,32,77,Comment
326,39,209,Like
327,352,241,Share
328,378,830,Like
329,20,630,Comment
330,277,982,Dislike
331,112,857,Dislike
332,5,416,Comment
333,451,3,Share
334,190,1,Share
335,161,139,Dislike
336,171,463,Comment
337,173,268,Dislike
338,188,639,Share
339,84,213,Share
340,216,901,Like
341,141,183,Like
342,139,198,Dislike
343,159,502,Comment
344,31,157,Like
345,359,240,Comment
346,55,209,Share
347,407,91,Share
348,191,308,Dislike
349,104,465,Dislike
350,476,81,Share
351,126,555,Share
352,231,414,Like
353,204,538,Share
354,330,39,Share
355,405,368,Like
356,454,352,Comment
357,141,820,Share
358,60,2,Like
359,61,723,Share
360,50,56,Share
361,159,797,Like
362,388,771,Comment
363,358,313,Like
364,51,995,Like
