booking_id,user_id,showtime_id,total_paid
1,80,389,15.0
2,496,145,45.0
3,256,13,15.0
4,340,132,30.0
5,496,264,45.0
6,194,203,30.0
7,401,97,15.0
8,45,153,15.0
9,336,152,45.0
10,138,364,30.0
11,186,288,30.0
12,267,53,30.0
13,185,359,15.0
14,319,124,30.0
15,249,201,45.0
16,206,263,15.0
17,228,189,15.0
18,150,387,30.0
19,248,111,45.0
20,409,116,15.0
21,375,225,15.0
22,256,34,45.0
23,164,200,15.0
24,399,175,15.0
25,2,259,30.0
26,345,201,15.0
27,128,246,30.0
28,352,48,45.0
29,180,218,15.0
30,355,47,15.0
31,67,223,45.0
32,4,242,45.0
33,172,335,15.0
34,170,231,15.0
35,81,221,15.0
36,50,56,15.0
37,295,121,45.0
38,422,221,30.0
39,339,328,30.0
40,200,302,15.0
41,297,162,15.0
42,225,215,30.0
43,358,174,45.0
44,442,338,30.0
45,492,334,45.0
46,187,169,15.0
47,17,166,15.0
48,256,64,30.0
49,447,290,45.0
50,148,364,45.0
51,492,181,30.0
52,134,281,45.0
53,285,319,15.0
54,290,213,30.0
55,195,113,45.0
56,220,95,30.0
57,83,165,30.0
58,413,274,30.0
59,117,262,30.0
60,170,331,45.0
61,440,356,45.0
62,155,358,15.0
63,316,388,45.0
64,238,77,15.0
65,51,302,30.0
66,493,123,30.0
67,69,34,15.0
68,123,38,15.0
69,208,230,15.0
70,321,30,15.0
71,101,155,15.0
72,357,325,45.0
73,489,332,30.0
74,383,211,30.0
75,383,161,45.0
76,413,215,15.0
77,484,250,45.0
78,470,274,15.0
79,91,8,30.0
80,24,164,15.0
81,400,75,45.0
82,315,52,45.0
83,195,299,30.0
84,362,170,30.0
85,129,352,15.0
86,42,216,45.0
87,469,181,45.0
88,72,119,45.0
89,45,394,15.0
90,460,333,45.0
91,176,325,45.0
92,444,89,30.0
93,130,355,15.0
94,412,292,45.0
95,372,398,45.0
96,199,264,45.0
97,415,131,45.0
98,145,57,45.0
99,138,143,45.0
100,27,339,45.0
101,250,338,45.0
102,159,139,30.0
103,31,181,45.0
104,300,49,30.0
105,72,54,45.0
106,168,139,30.0
107,289,96,15.0
108,188,170,30.0
109,146,98,45.0
110,136,14,15.0
111,114,377,15.0
112,452,279,30.0
113,340,165,15.0
114,414,255,45.0
115,287,44,15.0
116,425,309,30.0
117,111,348,45.0
118,500,108,15.0
119,487,380,15.0
120,356,117,30.0
121,248,139,45.0
122,480,266,15.0
123,443,394,30.0
124,21,233,45.0
125,463,206,30.0
126,168,181,30.0
127,167,353,30.0
128,306,171,45.0
129,120,167,15.0
130,260,315,30.0
131,247,231,15.0
132,149,343,30.0
133,229,310,30.0
134,152,51,30.0
135,181,194,15.0
136,185,376,45.0
137,105,238,30.0
138,471,254,45.0
139,495,371,45.0
140,427,218,45.0
141,272,67,15.0
142,168,253,30.0
143,279,233,30.0
144,424,221,30.0
145,412,41,15.0
146,290,298,30.0
147,347,4,45.0
148,87,37,15.0
149,49,309,30.0
150,38,259,15.0
151,44,1,30.0
152,153,315,30.0
153,253,332,30.0
154,171,256,45.0
155,244,253,15.0
156,188,214,15.0
157,147,347,30.0
158,446,116,45.0
159,396,166,30.0
160,318,21,45.0
161,338,258,45.0
162,129,278,45.0
163,473,222,30.0
164,256,51,15.0
165,234,158,15.0
166,331,351,15.0
167,458,277,15.0
168,1,257,15.0
169,416,168,30.0
170,153,393,45.0
171,137,47,45.0
172,387,156,15.0
173,403,195,45.0
174,70,393,30.0
175,6,166,45.0
176,126,8,15.0
177,248,197,45.0
178,23,326,45.0
179,327,383,15.0
180,363,22,30.0
181,149,298,45.0
182,124,94,45.0
183,317,1,30.0
184,366,331,45.0
185,308,147,45.0
186,287,32,15.0
187,354,385,45.0
