id,movie_id,actor_id,role_name
1,1,7,Character 7
2,1,78,Character 78
3,1,29,Character 29
4,1,22,Character 22
5,1,43,Character 43
6,1,102,Character 102
7,1,89,Character 89
8,2,50,Character 50
9,2,5,Character 5
10,2,20,Character 20
11,2,11,Character 11
12,2,139,Character 139
13,3,22,Character 22
14,3,26,Character 26
15,3,64,Character 64
16,3,117,Character 117
17,3,11,Character 11
18,3,13,Character 13
19,3,39,Character 39
20,3,121,Character 121
21,4,8,Character 8
22,4,47,Character 47
23,4,93,Character 93
24,4,88,Character 88
25,4,64,Character 64
26,4,137,Character 137
27,4,132,Character 132
28,5,21,Character 21
29,5,20,Character 20
30,5,38,Character 38
31,5,49,Character 49
32,6,19,Character 19
33,6,21,Character 21
34,6,120,Character 120
35,6,58,Character 58
36,6,60,Character 60
37,6,83,Character 83
38,6,85,Character 85
39,7,88,Character 88
40,7,52,Character 52
41,7,6,Character 6
42,7,23,Character 23
43,7,141,Character 141
44,7,76,Character 76
45,7,48,Character 48
46,7,150,Character 150
47,8,106,Character 106
48,8,108,Character 108
49,8,88,Character 88
50,9,13,Character 13
51,9,60,Character 60
52,9,107,Character 107
53,9,127,Character 127
54,9,45,Character 45
55,10,21,Character 21
56,10,150,Character 150
57,10,77,Character 77
58,10,143,Character 143
59,10,1,Character 1
60,10,133,Character 133
61,10,142,Character 142
62,11,109,Character 109
63,11,46,Character 46
64,11,8,Character 8
65,11,43,Character 43
66,11,145,Character 145
67,11,103,Character 103
68,12,51,Character 51
69,12,63,Character 63
70,12,28,Character 28
71,13,73,Character 73
72,13,31,Character 31
73,13,84,Character 84
74,13,88,Character 88
75,13,134,Character 134
76,14,71,Character 71
77,14,99,Character 99
78,14,115,Character 115
79,14,55,Character 55
80,14,79,Character 79
81,14,64,Character 64
82,14,43,Character 43
83,14,147,Character 147
84,15,83,Character 83
85,15,25,Character 25
86,15,40,Character 40
87,16,144,Character 144
88,16,4,Character 4
89,16,114,Character 114
90,17,74,Character 74
91,17,18,Character 18
92,17,93,Character 93
93,17,5,Character 5
94,17,60,Character 60
95,17,119,Character 119
96,17,12,Character 12
97,17,59,Character 59
98,18,130,Character 130
99,18,9,Character 9
100,18,85,Character 85
101,18,95,Character 95
102,18,116,Character 116
103,18,123,Character 123
104,19,49,Character 49
105,19,40,Character 40
106,19,93,Character 93
107,19,72,Character 72
108,19,21,Character 21
109,19,28,Character 28
110,19,134,Character 134
111,19,66,Character 66
112,20,74,Character 74
113,20,10,Character 10
114,20,30,Character 30
115,20,120,Character 120
116,20,31,Character 31
117,20,15,Character 15
118,20,26,Character 26
119,21,110,Character 110
120,21,69,Character 69
121,21,131,Character 131
122,21,7,Character 7
123,21,72,Character 72
124,21,14,Character 14
125,22,118,Character 118
126,22,29,Character 29
127,22,17,Character 17
128,22,114,Character 114
129,22,99,Character 99
130,22,27,Character 27
131,22,16,Character 16
132,22,24,Character 24
133,23,54,Character 54
134,23,43,Character 43
135,23,125,Character 125
136,23,65,Character 65
137,23,68,Character 68
138,23,103,Character 103
139,24,48,Character 48
140,24,43,Character 43
141,24,84,Character 84
142,24,140,Character 140
143,24,51,Character 51
144,24,115,Character 115
145,24,24,Character 24
146,25,75,Character 75
147,25,118,Character 118
148,25,24,Character 24
149,25,56,Character 56
150,26,82,Character 82
151,26,72,Character 72
152,26,26,Character 26
153,26,21,Character 21
154,26,45,Character 45
155,26,43,Character 43
156,26,60,Character 60
157,27,2,Character 2
158,27,40,Character 40
159,27,141,Character 141
160,28,131,Character 131
161,28,105,Character 105
162,28,36,Character 36
163,29,2,Character 2
164,29,107,Character 107
165,29,81,Character 81
166,29,122,Character 122
167,29,32,Character 32
168,29,33,Character 33
169,29,150,Character 150
170,29,78,Character 78
171,30,24,Character 24
172,30,130,Character 130
173,30,74,Character 74
174,30,98,Character 98
175,30,57,Character 57
176,30,150,Character 150
177,30,42,Character 42
178,31,132,Character 132
179,31,117,Character 117
180,31,144,Character 144
181,31,97,Character 97
182,31,129,Character 129
183,32,78,Character 78
184,32,25,Character 25
185,32,66,Character 66
186,32,130,Character 130
187,33,12,Character 12
188,33,78,Character 78
189,33,122,Character 122
190,34,77,Character 77
191,34,143,Character 143
192,34,61,Character 61
193,34,23,Character 23
194,34,28,Character 28
195,34,86,Character 86
196,34,92,Character 92
197,35,15,Character 15
198,35,20,Character 20
199,35,96,Character 96
200,35,23,Character 23
201,36,120,Character 120
202,36,50,Character 50
203,36,32,Character 32
204,36,139,Character 139
205,36,22,Character 22
206,36,28,Character 28
207,36,48,Character 48
208,37,41,Character 41
209,37,8,Character 8
210,37,78,Character 78
211,38,35,Character 35
212,38,67,Character 67
213,38,78,Character 78
214,39,74,Character 74
215,39,24,Character 24
216,39,101,Character 101
217,39,45,Character 45
218,40,116,Character 116
219,40,63,Character 63
220,40,119,Character 119
221,40,59,Character 59
222,40,64,Character 64
223,40,144,Character 144
224,40,7,Character 7
225,40,105,Character 105
226,41,28,Character 28
227,41,65,Character 65
228,41,99,Character 99
229,42,110,Character 110
230,42,114,Character 114
231,42,125,Character 125
232,43,34,Character 34
233,43,91,Character 91
234,43,31,Character 31
235,43,43,Character 43
236,44,53,Character 53
237,44,44,Character 44
238,44,75,Character 75
239,44,76,Character 76
240,44,10,Character 10
241,45,13,Character 13
242,45,122,Character 122
243,45,87,Character 87
244,46,146,Character 146
245,46,2,Character 2
246,46,86,Character 86
247,46,48,Character 48
248,47,29,Character 29
249,47,42,Character 42
250,47,115,Character 115
251,47,113,Character 113
252,47,101,Character 101
253,47,15,Character 15
254,47,100,Character 100
255,47,146,Character 146
256,48,78,Character 78
257,48,148,Character 148
258,48,105,Character 105
259,48,122,Character 122
260,48,4,Character 4
261,48,101,Character 101
262,49,95,Character 95
263,49,142,Character 142
264,49,7,Character 7
265,49,4,Character 4
266,49,76,Character 76
267,49,92,Character 92
268,50,5,Character 5
269,50,119,Character 119
270,50,8,Character 8
271,50,10,Character 10
272,50,58,Character 58
273,51,21,Character 21
274,51,56,Character 56
275,51,90,Character 90
276,51,146,Character 146
277,51,87,Character 87
278,51,36,Character 36
279,51,113,Character 113
280,51,128,Character 128
281,52,118,Character 118
282,52,24,Character 24
283,52,2,Character 2
284,52,16,Character 16
285,52,91,Character 91
286,52,49,Character 49
287,53,25,Character 25
288,53,71,Character 71
289,53,127,Character 127
290,54,24,Character 24
291,54,63,Character 63
292,54,144,Character 144
293,55,16,Character 16
294,55,80,Character 80
295,55,8,Character 8
296,55,22,Character 22
297,55,97,Character 97
298,55,48,Character 48
299,56,95,Character 95
300,56,137,Character 137
301,56,40,Character 40
302,56,98,Character 98
303,56,62,Character 62
