id,movie_id,director_id
1,1,17
2,1,25
3,2,34
4,3,40
5,4,1
6,5,34
7,6,29
8,7,27
9,8,22
10,8,9
11,9,24
12,10,14
13,11,33
14,12,14
15,12,20
16,13,27
17,14,35
18,15,14
19,16,12
20,16,28
21,17,16
22,18,26
23,18,8
24,19,17
25,19,34
26,20,6
27,20,23
28,21,15
29,22,30
30,23,37
31,24,17
32,25,1
33,26,12
34,26,5
35,27,10
36,28,34
37,29,23
38,29,25
39,30,30
40,30,20
41,31,24
42,32,33
43,32,40
44,33,30
45,33,18
46,34,25
47,35,35
48,35,18
49,36,25
50,36,26
51,37,25
52,38,15
53,39,3
54,39,31
55,40,23
56,40,12
57,41,35
58,41,4
59,42,35
60,43,29
61,44,8
62,45,13
63,46,18
64,46,17
65,47,18
66,48,21
67,49,24
68,50,23
69,50,26
70,51,31
71,51,9
72,52,16
73,53,17
74,54,37
75,54,35
76,55,13
77,55,6
78,56,10
79,56,6
80,57,36
81,57,37
82,58,5
83,58,15
84,59,5
85,59,24
86,60,16
