movie_id,title,release_year,studio_id
1,The Epic Tale 1,2023,7
2,The Epic Tale 2,2019,10
3,The Epic Tale 3,2019,10
4,The Epic Tale 4,2021,10
5,The Epic Tale 5,2013,6
6,The Epic Tale 6,2014,3
7,The Epic Tale 7,2012,8
8,The Epic Tale 8,2015,3
9,The Epic Tale 9,2011,10
10,The Epic Tale 10,2019,10
11,The Epic Tale 11,2022,8
12,The Epic Tale 12,2024,7
13,The Epic Tale 13,2024,9
14,The Epic Tale 14,2019,7
15,The Epic Tale 15,2018,5
16,The Epic Tale 16,2017,8
17,The Epic Tale 17,2016,10
18,The Epic Tale 18,2012,6
19,The Epic Tale 19,2015,7
20,The Epic Tale 20,2014,10
21,The Epic Tale 21,2011,2
22,The Epic Tale 22,2017,1
23,The Epic Tale 23,2024,7
24,The Epic Tale 24,2010,4
25,The Epic Tale 25,2015,8
26,The Epic Tale 26,2012,4
27,The Epic Tale 27,2023,4
28,The Epic Tale 28,2016,8
29,The Epic Tale 29,2020,4
30,The Epic Tale 30,2011,1
31,The Epic Tale 31,2019,8
32,The Epic Tale 32,2020,1
33,The Epic Tale 33,2022,8
34,The Epic Tale 34,2021,6
35,The Epic Tale 35,2020,1
36,The Epic Tale 36,2023,1
37,The Epic Tale 37,2011,10
38,The Epic Tale 38,2014,4
39,The Epic Tale 39,2015,9
40,The Epic Tale 40,2024,10
41,The Epic Tale 41,2012,6
42,The Epic Tale 42,2017,4
43,The Epic Tale 43,2014,6
44,The Epic Tale 44,2021,3
45,The Epic Tale 45,2017,3
46,The Epic Tale 46,2017,10
47,The Epic Tale 47,2014,8
48,The Epic Tale 48,2021,1
49,The Epic Tale 49,2015,4
50,The Epic Tale 50,2024,7
51,The Epic Tale 51,2022,1
52,The Epic Tale 52,2010,4
53,The Epic Tale 53,2014,10
54,The Epic Tale 54,2013,6
55,The Epic Tale 55,2012,10
56,The Epic Tale 56,2023,10
57,The Epic Tale 57,2010,10
58,The Epic Tale 58,2017,1
59,The Epic Tale 59,2018,1
60,The Epic Tale 60,2011,1
