showtime_id,movie_id,screen_id,price
1,36,57,12.5
2,56,1,18.5
3,55,43,18.5
4,51,24,12.5
5,19,19,18.5
6,4,46,12.5
7,14,35,18.5
8,15,36,15.0
9,47,19,18.5
10,22,60,15.0
11,48,37,15.0
12,10,14,12.5
13,46,7,12.5
14,26,36,18.5
15,6,26,15.0
16,57,2,15.0
17,28,5,15.0
18,45,58,12.5
19,3,36,18.5
20,39,14,12.5
21,21,30,12.5
22,55,39,18.5
23,59,7,18.5
24,25,43,12.5
25,34,31,18.5
26,5,19,15.0
27,48,47,12.5
28,22,37,18.5
29,19,54,15.0
30,22,39,12.5
31,44,12,15.0
32,47,47,12.5
33,27,30,15.0
34,25,53,12.5
35,24,11,15.0
36,21,42,18.5
37,28,44,15.0
38,5,7,15.0
39,46,40,15.0
40,10,30,12.5
41,10,37,12.5
42,7,36,12.5
43,11,2,15.0
44,46,50,15.0
45,16,45,18.5
46,54,44,18.5
47,8,27,18.5
48,13,26,18.5
49,17,39,18.5
50,54,53,15.0
51,45,56,18.5
52,13,40,18.5
53,22,3,18.5
54,53,37,18.5
55,42,15,18.5
56,37,52,18.5
57,58,12,15.0
58,57,14,18.5
59,27,2,15.0
60,49,23,15.0
61,19,32,12.5
62,31,52,12.5
63,29,16,18.5
64,33,11,12.5
65,15,46,18.5
66,34,31,15.0
67,21,60,18.5
68,1,25,18.5
69,5,57,15.0
70,55,48,15.0
71,15,44,15.0
72,26,58,18.5
73,9,39,18.5
74,10,50,18.5
75,44,1,18.5
76,7,40,18.5
77,32,56,15.0
78,45,18,12.5
79,18,36,12.5
80,32,36,18.5
81,11,24,15.0
82,60,14,12.5
83,52,27,12.5
84,60,6,15.0
85,1,10,18.5
86,47,35,12.5
87,9,46,12.5
88,44,51,15.0
89,50,57,15.0
90,12,3,12.5
91,16,16,12.5
92,44,34,12.5
93,45,7,18.5
94,59,14,15.0
95,6,28,15.0
96,25,51,12.5
97,57,32,15.0
98,48,30,18.5
99,16,34,15.0
100,1,47,18.5
101,24,17,12.5
102,47,51,12.5
103,19,1,18.5
104,45,43,18.5
105,31,36,15.0
106,35,10,18.5
107,29,13,15.0
108,5,49,18.5
109,52,23,18.5
110,34,9,12.5
111,12,6,15.0
112,35,15,12.5
113,59,51,15.0
114,5,49,15.0
115,59,26,12.5
116,54,48,12.5
117,25,3,12.5
118,48,4,15.0
119,5,23,18.5
120,27,25,12.5
121,13,17,12.5
122,26,3,15.0
123,49,19,12.5
124,47,35,15.0
125,53,60,15.0
126,21,19,12.5
127,15,3,15.0
128,22,8,12.5
129,49,13,15.0
130,16,28,15.0
131,33,29,15.0
132,55,41,12.5
133,36,52,12.5
134,39,38,15.0
135,33,5,18.5
136,49,55,15.0
137,1,39,12.5
138,48,59,15.0
139,29,49,15.0
140,30,60,12.5
141,38,2,18.5
142,14,60,18.5
143,34,60,12.5
144,16,35,18.5
145,37,54,15.0
146,14,44,12.5
147,29,29,12.5
148,8,28,18.5
149,57,23,18.5
150,10,1,15.0
151,10,22,15.0
152,56,13,12.5
153,60,31,15.0
154,56,14,15.0
155,45,57,15.0
156,20,28,12.5
157,9,21,15.0
158,18,50,15.0
159,36,25,12.5
160,38,36,18.5
161,30,27,12.5
162,38,27,15.0
163,55,50,18.5
164,47,7,18.5
165,2,58,15.0
166,21,31,15.0
167,22,43,15.0
168,55,5,12.5
169,44,52,18.5
170,12,28,12.5
171,30,19,18.5
172,33,43,12.5
173,49,37,12.5
174,56,40,12.5
175,57,31,15.0
176,30,27,18.5
177,33,1,15.0
178,18,57,15.0
179,13,57,15.0
180,13,37,18.5
181,45,29,18.5
182,59,51,18.5
183,51,1,18.5
184,56,5,15.0
185,10,50,18.5
186,49,54,12.5
187,57,37,18.5
188,49,50,15.0
189,15,32,18.5
190,42,22,18.5
191,46,52,18.5
192,40,32,15.0
193,34,3,15.0
194,35,58,15.0
195,24,34,15.0
196,45,24,15.0
197,8,5,15.0
198,5,5,12.5
199,47,32,15.0
200,44,2,18.5
201,12,32,15.0
202,57,59,18.5
203,33,22,12.5
204,40,48,18.5
205,5,39,18.5
206,2,56,12.5
207,34,56,12.5
208,13,18,18.5
209,57,38,18.5
210,22,49,12.5
211,60,53,15.0
212,4,46,15.0
213,40,20,12.5
214,14,5,18.5
215,19,38,15.0
216,9,45,18.5
217,53,49,12.5
218,32,31,18.5
219,24,39,12.5
220,6,33,18.5
221,1,16,15.0
222,29,15,15.0
223,10,21,18.5
224,38,15,15.0
225,30,37,18.5
226,16,19,18.5
227,31,53,18.5
228,11,37,15.0
229,23,58,15.0
230,23,7,15.0
231,17,3,18.5
232,22,18,15.0
233,19,54,15.0
234,6,44,12.5
235,44,55,18.5
236,18,2,12.5
237,38,39,12.5
238,28,5,12.5
239,56,31,12.5
240,43,9,12.5
241,47,14,12.5
242,32,12,15.0
